primo	envios	tipo	ganancia	rank
405157	15000	private	366025000	2
405157	15500	private	360367857	2
405157	16000	private	355771429	2
405157	16500	private	347835714	2
405157	17000	private	337503571	2
405157	17500	private	336207143	2
405157	18000	private	339192857	2
405157	18500	private	336482143	2
405157	19000	private	334242857	2
491299	4000	public	259875000	2
491299	4500	public	290033333	2
491299	5000	public	295258333	2
491299	5500	public	297091667	2
491299	6000	public	302408333	2
491299	6500	public	322391667	2
491299	7000	public	332383333	2
491299	7500	public	343658333	2
491299	8000	public	358416667	2
491299	8500	public	364283333	2
491299	9000	public	368500000	2
491299	9500	public	369416667	2
491299	10000	public	371250000	2
491299	10500	public	376108333	2
491299	11000	public	378400000	2
491299	11500	public	393066667	2
491299	12000	public	397283333	2
491299	12500	public	401866667	2
491299	13000	public	398291667	2
491299	13500	public	413783333	2
491299	14000	public	408741667	2
491299	14500	public	402416667	2
491299	15000	public	388391667	2
491299	15500	public	393250000	2
491299	16000	public	389400000	2
491299	16500	public	387475000	2
491299	17000	public	387383333	2
491299	17500	public	380691667	2
491299	18000	public	367675000	2
491299	18500	public	367400000	2
491299	19000	public	365108333	2
491299	4000	private	256339286	2
491299	4500	private	285057143	2
491299	5000	private	300889286	2
491299	5500	private	308746429	2
491299	6000	private	329253571	2
491299	6500	private	337189286	2
491299	7000	private	344692857	2
491299	7500	private	351646429	2
491299	8000	private	341392857	2
491299	8500	private	353807143	2
491299	9000	private	359071429	2
491299	9500	private	362607143	2
491299	10000	private	364178571	2
491299	10500	private	366025000	2
491299	11000	private	375257143	2
491299	11500	private	379185714	2
491299	12000	private	375021429	2
491299	12500	private	373842857	2
491299	13000	private	373017857	2
491299	13500	private	378164286	2
491299	14000	private	377967857	2
491299	14500	private	373607143	2
491299	15000	private	370975000	2
491299	15500	private	363392857	2
491299	16000	private	354828571	2
491299	16500	private	348582143	2
491299	17000	private	344692857	2
491299	17500	private	346775000	2
491299	18000	private	338996429	2
491299	18500	private	332042857	2
491299	19000	private	330667857	2
531911	4000	public	272616667	2
