num_iterations	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	iter
913	0.055765735111052	0.999457123740554	544	282	0.928754292387672	251			15.7860000000001	-0.000547934730459489		0.720000000000255	infill_ei	1.1909999999998	0.00175306485648994	0.929970579824512	271
2042	0.0301265125524525	0.48374637838319	1312	163	0.928727107798147	283			46.6880000000001	-0.000729047069466574		1.05699999999979	infill_ei	1.26699999999983	0.00132054409010097	0.930662296501267	303
2022	0.0107407161980586	0.484520018441597	1566	81	0.928708759954811	212			69.0230000000002	-0.000412479728964858		0.728000000000066	infill_ei	1.08399999999983	0.00201355400125237	0.929336418322007	232
1565	0.010586634345887	0.328613994541262	10	215	0.928703379244789	169			17.0859999999998	-0.000314928476073873		0.570000000000164	infill_ei	0.972000000000207	0.00184242470692215	0.929207385377798	189
2047	0.010206331018191	0.207455377394739	900	237	0.92863196184747	162			35.6390000000001	-0.000443321623385084		0.529999999999745	infill_ei	0.942000000000007	0.00187760379542898	0.929577335567128	182
1950	0.097147129219029	0.76685675006695	847	315	0.928628059497749	21			33.688	-0.0115210052855057		0.0789999999999509	infill_ei	0.521000000000072	0.0219780558275242	0.931394012698921	41
2048	0.03475975943381	0.346262759916576	842	192	0.928620558596916	295			38.558	-0.000305069779368701		2.02000000000044	infill_ei	1.29199999999946	0.00131678413994801	0.92977575321666	315
1809	0.0100981398720693	0.261695072492859	1243	121	0.928584576124825	280			39.5699999999997	-0.000450554509211676		1.32999999999993	infill_ei	1.27999999999975	0.00140821468645524	0.930059171777515	300
2040	0.0101797332777171	0.739716511535019	925	224	0.928453117853454	194			36.6690000000003	-0.000607671297769746		0.739999999999782	infill_ei	1.02099999999973	0.00104919569749396	0.930633454437774	214
1831	0.0111457404861218	0.575681618419137	1056	143	0.928441459951116	237			44.7149999999992	-0.000916399005814488		1.2470000000003	infill_ei	1.14600000000064	0.000899526431847928	0.931127445174244	257
1779	0.0373383286943018	0.272695265070629	27	145	0.928418647126864	235			22.9309999999996	-0.000379561275756304		0.880000000000109	infill_ei	1.13000000000011	0.00158988539154766	0.929699583615351	255
810	0.0405848627830206	0.999311307787545	9	263	0.928299787355692	243			7.59699999999975	-0.000584538115357349		0.737999999999374	infill_ei	1.15599999999995	0.00237651259285663	0.929451741010657	263
1203	0.0649621849640252	0.999935607253361	1280	313	0.928264005660918	279			19.5039999999999	-0.000393930908477687		0.983999999999469	infill_ei	1.27000000000044	0.00166731479975104	0.929658763315166	299
1806	0.127628421767492	0.574604372736721	8	211	0.928195167699512	285			18.7760000000008	-0.000575663658422425		0.717999999999847	infill_ei	1.25900000000001	0.00131184668259469	0.930399234995166	305
1504	0.0101900386590381	0.765749206146511	1466	281	0.928191644537238	118			27.5480000000002	-0.00125838351393069		0.345000000000255	infill_ei	0.83600000000024	0.00344827571161751	0.929711947673335	138
1970	0.0105716062209703	0.336568463079452	1143	244	0.928123367079243	199			34.855	-0.000335224644893974		0.603000000000066	infill_ei	1.03999999999996	0.000687262880805814	0.930412241099723	219
